WB_TYPE,water_source,site_count,percent,ratio
Brewery,Public supply,16067,82.12533224289511,0.8212533224289511
Bottled water,Public supply,6545,64.2548596112311,0.642548596112311
Winery,Public supply,3448,48.76255126573328,0.4876255126573328
Distillery,Public supply,2899,71.75742574257426,0.7175742574257425
Soft drinks,Public supply,1378,81.25,0.8125
Ice,Public supply,628,78.30423940149626,0.7830423940149626
Brewery,Combination,1,0.005111429155591904,5.1114291555919034e-5
Bottled water,Combination,1514,14.863538189672099,0.14863538189672099
Winery,Combination,0,0,0
Distillery,Combination,1,0.024752475247524754,2.4752475247524753e-4
Soft drinks,Combination,11,0.6485849056603774,0.006485849056603774
Ice,Combination,1,0.12468827930174563,0.0012468827930174563
Brewery,Surface water intake,9,0.04600286240032713,4.6002862400327133e-4
Bottled water,Surface water intake,7,0.0687217749852739,6.872177498527391e-4
Winery,Surface water intake,2,0.0282845424975251,2.82845424975251e-4
Distillery,Surface water intake,7,0.17326732673267328,0.0017326732673267327
Soft drinks,Surface water intake,1,0.0589622641509434,5.896226415094339e-4
Ice,Surface water intake,1,0.12468827930174563,0.0012468827930174563
Brewery,Spring,143,0.7309343692496422,0.007309343692496422
Bottled water,Spring,333,3.269193010013744,0.03269193010013744
Winery,Spring,305,4.313392730872579,0.043133927308725784
Distillery,Spring,93,2.301980198019802,0.02301980198019802
Soft drinks,Spring,20,1.179245283018868,0.01179245283018868
Ice,Spring,1,0.12468827930174563,0.0012468827930174563
Brewery,Well,3076,15.722756082600695,0.15722756082600695
Bottled water,Well,1656,16.257608482230513,0.16257608482230512
Winery,Well,3249,45.948239287229534,0.4594823928722953
Distillery,Well,962,23.81188118811881,0.2381188118811881
Soft drinks,Well,262,15.44811320754717,0.1544811320754717
Ice,Well,134,16.708229426433917,0.16708229426433915
Brewery,Undetermined,268,1.36986301369863,0.0136986301369863
Bottled water,Undetermined,131,1.2860789318672687,0.012860789318672688
Winery,Undetermined,67,0.947532173667091,0.00947532173667091
Distillery,Undetermined,78,1.9306930693069306,0.019306930693069307
Soft drinks,Undetermined,24,1.4150943396226416,0.014150943396226415
Ice,Undetermined,37,4.613466334164588,0.046134663341645885
